clean_text,label
fears for t n pension after talks unions representing workers at turner   newall say they are disappointed after talks with stricken parent firm federal mogul,Business
the race is on second private team sets launch date for human spaceflight spacecom spacecom  toronto canada  a secondteam of rocketeers competing for the  3610 million ansari x prize a contest forprivately funded suborbital space flight has officially announced the firstlaunch date for its manned rocket,Sci/Tech
ky company wins grant to study peptides ap ap  a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides which are short chains of amino acids the building blocks of proteins,Sci/Tech
prediction unit helps forecast wildfires ap ap  its barely dawn when mike fitzpatrick starts his shift with a blur of colorful maps figures and endless charts but already he knows what the day will bring lightning will strike in places he expects winds will pick up moist places will dry and flames will roar,Sci/Tech
calif aims to limit farmrelated smog ap ap  southern californias smogfighting agency went after emissions of the bovine variety friday adopting the nations first rules to reduce air pollution from dairy cow manure,Sci/Tech
open letter against british copyright indoctrination in schools the british department for education and skills dfes recently launched a music manifesto campaign with the ostensible intention of educating the next generation of british musicians unfortunately they also teamed up with the music industry emi and various artists to make this popular emi has apparently negotiated their end well so that children in our schools will now be indoctrinated about the illegality of downloading musicthe ignorance and audacity of this got to me a little so i wrote an open letter to the dfes about it unfortunately its pedantic as i suppose you have to be when writing to goverment representatives but i hope you find it useful and perhaps feel inspired to do something similar if or when the same thing has happened in your area,Sci/Tech
loosing the war on terrorism sven jaschan selfconfessed author of the netsky and sasser viruses isresponsible for 70 percent of virus infections in 2004 according to a sixmonthvirus roundup published wednesday by antivirus company sophosthe 18yearold jaschan was taken into custody in germany in may by police whosaid he had admitted programming both the netsky and sasser worms somethingexperts at microsoft confirmed a microsoft antivirus reward program led to theteenagers arrest during the five months preceding jaschans capture therewere at least 25 variants of netsky and one of the portscanning network wormsassergraham cluley senior technology consultant at sophos said it was staggeri ,Sci/Tech
foafkey foaf pgp key distribution and bloom filters foafloaf  and bloom filters have a lot of interesting properties for socialnetwork and whitelist distributioni think we can go one level higher though and include gpgopenpgp keyfingerpring distribution in the foaf file for simple weboftrust based keydistributionwhat if we used foaf and included the pgp key fingerprints for identitiesthis could mean a lot  you include the pgp key fingerprints within the foaffile of your direct friends and then include a bloom filter of the pgp keyfingerprints of your entire whitelist the source foaf file would of course needto be encrypted your whitelist would be populated from the social network as your clientdiscovered new identit ,Sci/Tech
email scam targets police chief wiltshire police warns about phishing after its fraud squad chief was targeted,Sci/Tech
card fraud unit nets 36000 cards in its first two years the uks dedicated card fraud unit has recovered 36000 stolen cards and 171 arrests  and estimates it saved 65m,Sci/Tech
group to propose new highspeed wireless format  los angeles reuters  a group of technology companies  including texas instruments inc lttxnngt stmicroelectronics  ltstmpagt and broadcom corp ltbrcmogt on thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation,Sci/Tech
apple launches graphics software video bundle  los angeles reuters  apple computer incltaaplogt on  tuesday began shipping a new program designed to let users  create realtime motion graphics and unveiled a discount  videoediting software bundle featuring its flagship final cut  pro software,Sci/Tech
dutch retailer beats apple to local download market  amsterdam reuters  free record shop a dutch music  retail chain beat apple computer inc to market on tuesday  with the launch of a new download service in europes latest  battleground for digital song services,Sci/Tech
super ant colony hits australia a giant 100km colony of ants  which has been discovered in melbourne australia could threaten local insect species,Sci/Tech
socialites unite dolphin groups dolphin groups or pods rely on socialites to keep them from collapsing scientists claim,Sci/Tech
